,Episode,Score,Epsilon
0,0,4.0,1.0
1,1,2.0,1.0
2,2,0.0,1.0
3,3,3.0,1.0
4,4,3.0,1.0
5,5,0.0,1.0
6,6,0.0,1.0
7,7,3.0,1.0
8,8,5.0,1.0
9,9,3.0,1.0
10,10,1.0,1.0
11,11,4.0,1.0
12,12,1.0,1.0
13,13,1.0,1.0
14,14,3.0,1.0
15,15,0.0,1.0
16,16,3.0,1.0
17,17,1.0,1.0
18,18,0.0,1.0
19,19,2.0,1.0
20,20,1.0,1.0
21,21,0.0,1.0
22,22,2.0,1.0
23,23,2.0,1.0
24,24,1.0,1.0
25,25,0.0,1.0
26,26,2.0,1.0
27,27,1.0,1.0
28,28,0.0,1.0
29,29,1.0,1.0
30,30,3.0,1.0
31,31,1.0,1.0
32,32,0.0,1.0
33,33,0.0,1.0
34,34,1.0,1.0
35,35,2.0,1.0
36,36,2.0,1.0
37,37,1.0,1.0
38,38,0.0,1.0
39,39,0.0,1.0
40,40,0.0,1.0
41,41,1.0,1.0
42,42,2.0,1.0
43,43,2.0,1.0
44,44,0.0,1.0
45,45,1.0,1.0
46,46,0.0,1.0
47,47,0.0,1.0
48,48,1.0,1.0
49,49,3.0,1.0
50,50,2.0,1.0
51,51,4.0,1.0
52,52,1.0,1.0
53,53,0.0,1.0
54,54,1.0,1.0
55,55,1.0,1.0
56,56,2.0,1.0
57,57,2.0,1.0
58,58,0.0,1.0
59,59,0.0,1.0
60,60,1.0,1.0
61,61,2.0,1.0
62,62,1.0,1.0
63,63,4.0,1.0
64,64,1.0,1.0
65,65,1.0,1.0
66,66,2.0,1.0
67,67,1.0,1.0
68,68,2.0,1.0
69,69,1.0,1.0
70,70,1.0,1.0
71,71,0.0,1.0
72,72,0.0,1.0
73,73,0.0,1.0
74,74,0.0,1.0
75,75,0.0,1.0
